reporter,reporter_name,commodity,imports_usd,exports_usd,ratio,role
156,China,2846,1881334377.0,528357420.0,0.21926348450776587,sink
458,Malaysia,2846,7292924.379,472345289.089,0.9847949471618016,source
842,USA,2846,181268698.0,363640433.0,0.667341419536609,processor
392,Japan,2846,303049221.768,248908519.59600002,0.45095575429542184,processor
699,India,2846,12755668.442,54723026.321,0.8109674692612134,source
528,Netherlands,2846,11706423.915000001,23682051.283,0.6692023646257131,processor
410,Rep. of Korea,2846,83831942.0,23352750.0,0.21787392923608906,sink
276,Germany,2846,77534282.646,17190140.88,0.18147527575379377,sink
380,Italy,2846,8298356.05,10093373.331,0.5487995784359023,processor
710,South Africa,2846,5514934.601,6280537.474,0.5324532527452913,processor
826,United Kingdom,2846,8509347.27,4436486.47,0.3426960796114782,processor
764,Thailand,2846,97427467.94500001,3024285.695,0.03010684816751398,sink
616,Poland,2846,8639209.0,2376348.0,0.2157265402012808,sink
124,Canada,2846,4609737.125,1066309.1940000001,0.1878612565987413,sink
792,Türkiye,2846,15261368.0,1017782.0,0.0625205861485397,sink
40,Austria,2846,1080851.25,1002555.5079999999,0.4812096841628849,processor
36,Australia,2846,796116.646,585559.547,0.42380374646869234,processor
56,Belgium,2846,4154474.0960000004,493605.453,0.10619556911546307,sink
724,Spain,2846,13301808.222000001,472085.08999999997,0.03427390348585851,sink
702,Singapore,2846,10041333.092999998,465221.015,0.044279124270227385,sink
203,Czechia,2846,2712599.0,302772.0,0.10040953501244125,sink
246,Finland,2846,1926645.517,173679.854,0.08269188021916249,sink
76,Brazil,2846,3789178.0,15744.0,0.004137798356970261,sink
752,Sweden,2846,628831.128,13006.398,0.020264315302748435,sink
372,Ireland,2846,17505855.735999998,12521.091,0.0007147403622864199,sink
152,Chile,2846,83072.44,722.96,0.008627681233098714,sink
208,Denmark,2846,555969.258,0.0,0.0,sink
360,Indonesia,2846,771831.0,0.0,0.0,sink
484,Mexico,2846,5957903.0,0.0,0.0,sink
152,Chile,7403,2346484.288,16928436241.504,0.9998614072174924,source
392,Japan,7403,87304663.207,6071888315.723,0.9858253080386244,source
36,Australia,7403,17451279.129,3375300355.229,0.9948563051440981,source
616,Poland,7403,89537958.0,2617046594.0,0.9669184700201452,source
156,China,7403,34227560359.0,2422184729.0,0.06609008393330083,sink
410,Rep. of Korea,7403,2290721460.0,1873520105.0,0.4499066818665694,processor
276,Germany,7403,4253288141.746,1834153184.203,0.3013011684210468,processor
842,USA,7403,6858031880.0,1613223610.0,0.1904350083531715,sink
56,Belgium,7403,346057314.248,1399069147.943,0.8017007238469548,source
124,Canada,7403,216213282.98800004,1259612340.831,0.8534967278664642,source
360,Indonesia,7403,815559667.0,1164190057.6490002,0.5880491069927565,processor
40,Austria,7403,292401974.65500003,1003351769.6190001,0.774338313937244,source
