commodity,importer,exporter,importer_says,importer_kg,exporter_says,exporter_kg,ratio,excess_gap,abs_gap,usd_discrepancy,importer_name,exporter_name
2825,792,842,7749426.0,496112.0,6541154.0,1029871.0,1.1847184762810965,0.10206369886613638,0.10206369886613638,717685.4500000002,Türkiye,USA
2825,826,36,10333053.966,1290912.0,10782655.017,1340657.0,0.9583033074608103,-0.1085550628271532,0.1085550628271532,1258300.1772750001,United Kingdom,Australia
2825,826,56,3217178.138,475313.0,8421196.679,378407.6,0.3820333689655653,-0.6446201218924973,0.6446201218924973,5835608.291924998,United Kingdom,Belgium
2825,826,156,5672727.483,1041212.0,4272185.0,487202.362,1.3278281448485962,0.23518897195218252,0.23518897195218252,1080128.608,United Kingdom,China
2825,826,276,9258496.866,1037363.006,9354483.317,1066823.353,0.9897389895574925,-0.07931256785349534,0.07931256785349534,797572.6997749992,United Kingdom,Germany
2825,826,392,5127912.319,176988.0,4388073.37,161972.608,1.1686022284992013,0.08707184046437325,0.08707184046437325,410733.44625000004,United Kingdom,Japan
2825,826,704,33793978.86,1080000.0,23419200.0,0.0,1.4430031282025004,0.3423284913511632,0.3423284913511632,8618338.86,United Kingdom,Viet Nam
2825,826,842,22318922.953,1661311.0,26681669.0,3465030.0,0.8364890124751941,-0.22187068606958674,0.22187068606958674,6363871.221999995,United Kingdom,USA
2825,842,36,13704462.0,1692352.0,13164967.19,1638300.16,1.0409795787725014,-0.03164690346744058,0.03164690346744058,447877.7292499989,USA,Australia
2825,842,56,29637978.0,1817141.0,27458146.215,1849458.36,1.0793874345315122,0.0040813344479182535,0.0040813344479182535,120470.81887499988,USA,Belgium
2825,842,76,77327115.0,2507615.0,73541903.0,3013475.0,1.0514701394115407,-0.021888242407869084,0.021888242407869084,1730430.724999994,USA,Brazil
2825,842,124,11066401.0,345916.0,10795114.208,441671.0,1.0251305161550728,-0.0463902175301649,0.0463902175301649,538346.7736000009,USA,Canada
2825,842,152,216996017.0,5267952.0,201748265.87,5199224.24,1.0755781025638413,0.0005377698268292662,0.0005377698268292662,116631.18975001574,USA,Chile
